# c088: (lambda (if (== (second $0) (third $0)) (swap 1 4 $0) (swap 2 3 $0)))
19,1,99,19,20,99,20;19,99,1,19,20,99,20
95,31,31,4,39,5,32,0;4,31,31,95,39,5,32,0
15,53,53,95;95,53,53,15
84,86,3,84,3,89;84,3,86,84,3,89
17,41,41,85,25,2,17,25,17,10;85,41,41,17,25,2,17,25,17,10
74,4,40,74;74,40,4,74
5,77,77,52,6,35,90,57,27;52,77,77,5,6,35,90,57,27
66,16,16,38,11,85,88;38,16,16,66,11,85,88
96,96,8,96,51;96,8,96,96,51
76,51,51,24,2,7,48,91,67,24;24,51,51,76,2,7,48,91,67,24
56,9,34,56,90,59,6,8,6;56,34,9,56,90,59,6,8,6
