# c092: (lambda (cons 92 (cons 63 (cons 34 (cons 18 (cons 55 $0))))))
97,45,97,8;92,63,34,18,55,97,45,97,8
7,87,87,87,5,11;92,63,34,18,55,7,87,87,87,5,11
8,54,84,7,9,94,3,40,6;92,63,34,18,55,8,54,84,7,9,94,3,40,6
1;92,63,34,18,55,1
66,66;92,63,34,18,55,66,66
;92,63,34,18,55
14,9,14;92,63,34,18,55,14,9,14
78,37,7,71,37,73,48,78,7,9;92,63,34,18,55,78,37,7,71,37,73,48,78,7,9
80,1,10,35,5;92,63,34,18,55,80,1,10,35,5
8,22,72,7,31,94,4,49,69,47;92,63,34,18,55,8,22,72,7,31,94,4,49,69,47
25,51,51,50,0,50,50,51;92,63,34,18,55,25,51,51,50,0,50,50,51
