# c093: (lambda (repeat (first $0) 10))
94,36,57,91;94,94,94,94,94,94,94,94,94,94
93,7,37,90,0,99,6,6;93,93,93,93,93,93,93,93,93,93
62;62,62,62,62,62,62,62,62,62,62
19,5,2,76,61,5,43,1,20;19,19,19,19,19,19,19,19,19,19
4,63,0,58,61,9,0,1,85,8;4,4,4,4,4,4,4,4,4,4
71,71,67,66,55,83,67,66,55,50;71,71,71,71,71,71,71,71,71,71
14,14,29,1,29,14,61,3;14,14,14,14,14,14,14,14,14,14
21,4,67,89,67,67;21,21,21,21,21,21,21,21,21,21
31,4,8,26,2,31,26,0,33,26;31,31,31,31,31,31,31,31,31,31
35,3,47,47,35,35,3,5,47,7;35,35,35,35,35,35,35,35,35,35
76,48,1,0,1,31,9,48,7,60;76,76,76,76,76,76,76,76,76,76
