# c091: (lambda (cons 81 (cons 99 (cons 41 (cons 23 (cons 22 (cons 75 (cons 68 (cons 30 (cons 24 (singleton 69)))))))))))
3,88,88;81,99,41,23,22,75,68,30,24,69
;81,99,41,23,22,75,68,30,24,69
6;81,99,41,23,22,75,68,30,24,69
61,1,59,4,5,35,48,27,9;81,99,41,23,22,75,68,30,24,69
72,58,56,49,40,7,25,1;81,99,41,23,22,75,68,30,24,69
70,5,13,31,42,99,0;81,99,41,23,22,75,68,30,24,69
8,5,9,8,6,8,9,42,6,5;81,99,41,23,22,75,68,30,24,69
25,47,92,12,45,71,4,6,92;81,99,41,23,22,75,68,30,24,69
94,94,43,58,58,94;81,99,41,23,22,75,68,30,24,69
79,85,7,79,2,0,1,60,86,81;81,99,41,23,22,75,68,30,24,69
84,65,95,80,49,65,95,95,97,19;81,99,41,23,22,75,68,30,24,69
